Отметка времени	Тип проблемы	Название продукта	Ссылка на пуш в репе	Комментарий
17.03.2022 14:23:55	Политические лозунги	Evolution CMS	https://github.com/evolution-cms/evolution/commit/1c586bc76f739264dcf0482530945875fa444b77	После обновления на релизы Evolution CMS 3.1.10 и Evolution CMS 1.4.17 полит. лозунг в админке
17.03.2022 16:00:52	Политические лозунги	GNOME extension ddterm	оф сайт расширений гнома	Демонстрирует в окне консоли баннер.
17.03.2022 16:06:14	Политические лозунги	Spark	https://sparkmailapp.com/	Из текущего: лозунги и отказ от обслуживания жителей РФ (такое чувство, что ограничение на клиентской части приложения, т.к. отказ пришел с обновлениями)
17.03.2022 16:26:37	Политические лозунги	The Unarchiver	https://github.com/MacPaw (приватный репозиторий)	Проверить, есть ли что-то помимо лозунгов, пока не удаётся. Лозунги точно показываются на баннере при разархивации/архивации.
17.03.2022 16:42:32	Политические лозунги	deskreen	https://deskreen.com	Не опенсурс, но не знаю куда ещё отправить эту информацию.
17.03.2022 16:49:32	Политические лозунги	React	https://reactjs.org/	В документации фреймворка на каждой странице шапка с лозунгом
17.03.2022 17:06:37	Политические лозунги	RNUILib	https://github.com/wix/react-native-ui-lib/commit/dca74afdc64f76101c105d02534f4a05bb0c771c	Баннер #StandWithUkraine
17.03.2022 17:06:44	Политические лозунги	https://repo.packagist.org	https://github.com/composer/packagist/pull/1270	composer update - выдает в консоли #StandWithUkraine
17.03.2022 17:31:44	шильда в шапке Stand with Ukraine 🇺🇦	https://www.11ty.dev/	https://github.com/11ty/11ty-website/commit/544e54a62947c41381d0e9b59891dfe4dd9f3de6	До этого была ссылка на донаты для украины
17.03.2022 17:34:19	Политические лозунги	django-modeltranslatio	https://github.com/deschler/django-modeltranslation/commit/0617eadfb4606cd9cf3c5fcea761af142b5eb3b2	Политические лозунги в документации
17.03.2022 17:41:57	Политические лозунги	PHPBench	https://github.com/phpbench/phpbench/commit/414f462c2ee40a6b30ffafbe0c4ee760e75780f8	standwithukraine
17.03.2022 17:44:09	Политические лозунги	Php Project	https://github.com/spider-mane/php-project/commit/f742eafcf96496ad7f687f452a5c893d29f3e79e	#StandWithUkraine
17.03.2022 17:46:52	Политические лозунги	Activeadmin SimpleMDE Markdown Editor	https://github.com/ypylypenko/activeadmin_simplemde/commit/9bdf811b5c23430b5d7c45d342082e4f1cca14a9	Политические лозунги.
17.03.2022 17:52:20	Политические лозунги	Svelte Material UI	https://github.com/hperrin/svelte-material-ui	на их официальрном сайте https://sveltematerialui.com/ висит плашка с лозунгом
17.03.2022 18:12:07	Политические лозунги	Pnpn менеджер пакетов	https://github.com/pnpm/pnpm	Вредительства не замечено, но сайт с доками блочит ру айпи
17.03.2022 18:31:33	Политические лозунги	Autodesk AutoCAD	https://www.autodesk.ru/	Лозунги
17.03.2022 18:52:55	Политические лозунги	Winbox snap package	https://github.com/panaceya/winbox/commit/adb017fd7bf2ea40bbf5e449a20091192188509f	Мейнтейнер snap-пакета приложил поп-ап, который открывается при использовании русской локали
17.03.2022 18:56:23	Политические лозунги, блокировка	pnpm	https://github.com/pnpm/pnpm/commit/3c328ec465c597ff558c1f38afbfe2a0c1b02a83	Заблокирован доступ на основной сайт https://pnpm.io по ~нац~ гео признаку. Основной мэйнтэйнер Украинец и, как видно, на дух не переносит русских.
17.03.2022 19:23:36	Политические лозунги	react-native-ui-lib	https://github.com/wix/react-native-ui-lib/commit/dca74afdc64f76101c105d02534f4a05bb0c771c	Политический баннер #StandWithUkraine
